Date,pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm),rain accumulation (max),solar radiation units (max)
20/05/2021,9.051510622,17.6206383,17.04925,112.5334076,0.333606557,19.14933578,0.101441678,-7.658774146,1.967237671,0,511.4603448
20/05/2021,9.050102282,17.71829787,17.36225,112.4422149,0.333530055,19.15352923,0.101441678,-7.715527489,1.967599685,0,528.3931034
20/05/2021,9.048756884,17.81510638,17.64675,112.3508519,0.333453552,19.15774411,0.101441678,-7.772808321,1.9679617,0,543.8396552
20/05/2021,9.047498033,17.91085106,17.90125,112.2604849,0.333377049,19.16192225,0.101441678,-7.829985141,1.968323715,0,557.8793103
20/05/2021,9.046341463,18.00574468,18.12725,112.1726474,0.333300546,19.1661004,0.101441678,-7.886017831,1.968685729,0,563.7758621
20/05/2021,9.045302911,18.09978723,18.32775,112.0844037,0.333224044,19.17030303,0.101441678,-7.93986627,1.969047744,0,566.5706897
20/05/2021,9.04440598,18.19297872,18.505,111.9974443,0.333180328,19.17449954,0.101441678,-7.990237741,1.969409759,0,566.1241379
20/05/2021,9.043674272,18.28553191,18.657,111.9128702,0.333114754,19.1787236,0.101441678,-8.037377415,1.969771773,0,562.5241379
20/05/2021,9.043107789,18.37744681,18.77525,111.8295544,0.33304918,19.1828742,0.101441678,-8.080371471,1.970133788,0,555.7017241
20/05/2021,9.042690795,18.46851064,18.8785,111.7477064,0.332994536,19.18706152,0.101441678,-8.119316493,1.970495803,0,545.7793103
20/05/2021,9.042415421,18.55893617,18.956,111.6674705,0.332918033,19.19123967,0.101441678,-8.154019316,1.970857817,0,533.0155172
20/05/2021,9.042258065,18.64829787,19.0115,111.5878375,0.332852459,19.19539639,0.101441678,-8.18372214,1.971219832,0,517.1810345
20/05/2021,9.042218725,18.73659574,19.0415,111.5096855,0.332808743,19.19958066,0.101441678,-8.208150074,1.971581847,0,498.4931034
20/05/2021,9.042281668,18.82361702,19.04025,111.4373263,0.332743169,19.20379553,0.101441678,-8.227429421,1.971943861,0,478.6689655
20/05/2021,9.042439024,18.90914894,19.00575,111.3760157,0.332677596,19.20797368,0.101441678,-8.24166419,1.972305876,0,457.8396552
20/05/2021,9.042682927,18.99191489,18.938,111.3143775,0.332622951,19.21215182,0.101441678,-8.251136701,1.972667891,0,433.9275862
